lokasi,nama_komoditas,Kategori
Pasar Sederhana,Beras Medium,Karbohidrat
Pasar Sederhana,Cabe Merah,Bumbu
Pasar Sederhana,Bawang Merah,Bumbu
Pasar Sederhana,Daging Ayam Ras,Protein
Pasar Sederhana,Telur Ayam Ras,Protein
Pasar Sederhana,Daging Sapi,Protein
Pasar Sederhana,Minyak Goreng,Minyak Memasak
Pasar Sederhana,Gula Pasir,Bumbu
Pasar Sederhana,Kentang,Karbohidrat
Pasar Sederhana,Kedelai,Protein
Pasar Sederhana,Tepung Terigu,Karbohidrat
Pasar Sederhana,Bawang Putih,Bumbu
Pasar Sederhana,Cabe Keriting,Bumbu
Pasar Sederhana,Cabe Rawit,Bumbu
Pasar Sederhana,Kacang Tanah,Protein
Pasar Sederhana,Ubi Kayu,Karbohidrat
Pasar Sederhana,Jagung,Karbohidrat
Pasar Sederhana,Ikan Olahan,Protein
Pasar Sederhana,Minyak Goreng Curah,Minyak Memasak
Pasar Sederhana,Daging Ayam Kampung,Protein
Pasar Sederhana,Telur Ayam Kampung,Protein
Pasar Sederhana,Susu Kental Manis Merk Bendera,Minuman
Pasar Sederhana,Susu Kental Manis Merk Indomilk,Minuman
Pasar Sederhana,Garam Beryodium Bata,Bumbu
Pasar Sederhana,Garam Beryodium Halus,Bumbu
Pasar Sederhana,Tepung Terigu Cakra Kembar,Karbohidrat
Pasar Sederhana,Tepung Terigu Kunci,Karbohidrat
Pasar Sederhana,Mie Instan,Karbohidrat
Pasar Sederhana,Cabe Rawit Hijau,Bumbu
Pasar Sederhana,Kacang Hijau,Protein
Pasar Sederhana,Susu Bubuk Dancow,Minuman
Pasar Sederhana,Susu Bubuk Indomilk,Minuman
Pasar Sederhana,Ikan Kembung,Protein
